Date,Hour,ED_Patients
8/6/2018,7,11
8/6/2018,8,11
8/6/2018,9,15
8/6/2018,10,21
8/6/2018,11,26
8/6/2018,12,31
8/6/2018,13,35
8/6/2018,14,38
8/6/2018,15,39
8/6/2018,16,44
8/6/2018,17,45
8/6/2018,18,42
8/6/2018,19,40
8/6/2018,20,40
8/6/2018,21,45
8/6/2018,22,41
8/6/2018,23,24
8/7/2018,0,16
8/7/2018,1,13
8/7/2018,2,12
8/7/2018,3,9
8/7/2018,4,7
8/7/2018,5,6
8/7/2018,6,7
8/7/2018,7,11
8/7/2018,8,15
8/7/2018,9,19
8/7/2018,10,27
8/7/2018,11,30
8/7/2018,12,34
8/7/2018,13,40
8/7/2018,14,42
8/7/2018,15,36
8/7/2018,16,42
8/7/2018,17,49
8/7/2018,18,45
8/7/2018,19,49
8/7/2018,20,50
8/7/2018,21,51
8/7/2018,22,39
8/7/2018,23,31
8/8/2018,0,31
8/8/2018,1,24
8/8/2018,2,22
8/8/2018,3,13
8/8/2018,4,10
8/8/2018,5,9
8/8/2018,6,5
8/8/2018,7,7
8/8/2018,8,12
8/8/2018,9,15
8/8/2018,10,24
8/8/2018,11,27
8/8/2018,12,32
8/8/2018,13,37
8/8/2018,14,38
8/8/2018,15,45
8/8/2018,16,43
8/8/2018,17,47
8/8/2018,18,37
8/8/2018,19,39
8/8/2018,20,35
8/8/2018,21,34
8/8/2018,22,31
8/8/2018,23,31
8/9/2018,0,27
8/9/2018,1,27
8/9/2018,2,21
8/9/2018,3,20
8/9/2018,4,13
8/9/2018,5,7
8/9/2018,6,4
8/9/2018,7,6
8/9/2018,8,6
8/9/2018,9,11
8/9/2018,10,15
8/9/2018,11,23
8/9/2018,12,29
8/9/2018,13,37
8/9/2018,14,49
8/9/2018,15,53
8/9/2018,16,56
8/9/2018,17,46
8/9/2018,18,39
8/9/2018,19,27
8/9/2018,20,36
8/9/2018,21,39
8/9/2018,22,30
8/9/2018,23,23
8/10/2018,0,17
8/10/2018,1,19
8/10/2018,2,13
8/10/2018,3,13
8/10/2018,4,6
8/10/2018,5,4
8/10/2018,6,2
8/10/2018,7,4
8/10/2018,8,8
8/10/2018,9,10
8/10/2018,10,18
8/10/2018,11,26
8/10/2018,12,34
8/10/2018,13,39
8/10/2018,14,40
8/10/2018,15,46
8/10/2018,16,47
8/10/2018,17,52
8/10/2018,18,52
8/10/2018,19,57
8/10/2018,20,55
8/10/2018,21,54
8/10/2018,22,45
8/10/2018,23,40
8/11/2018,0,30
8/11/2018,1,31
8/11/2018,2,25
8/11/2018,3,21
8/11/2018,4,18
8/11/2018,5,15
8/11/2018,6,12
8/11/2018,7,11
8/11/2018,8,12
8/11/2018,9,12
8/11/2018,10,19
8/11/2018,11,23
8/11/2018,12,35
8/11/2018,13,43
8/11/2018,14,38
8/11/2018,15,42
8/11/2018,16,36
8/11/2018,17,36
8/11/2018,18,33
8/11/2018,19,35
8/11/2018,20,31
8/11/2018,21,28
8/11/2018,22,26
8/11/2018,23,26
8/12/2018,0,20
8/12/2018,1,20
8/12/2018,2,13
8/12/2018,3,11
8/12/2018,4,14
8/12/2018,5,16
8/12/2018,6,13
8/12/2018,7,17
8/12/2018,8,20
8/12/2018,9,17
8/12/2018,10,24
8/12/2018,11,28
8/12/2018,12,37
8/12/2018,13,35
8/12/2018,14,37
8/12/2018,15,41
8/12/2018,16,44
8/12/2018,17,49
8/12/2018,18,40
8/12/2018,19,37
8/12/2018,20,32
8/12/2018,21,31
8/12/2018,22,32
8/12/2018,23,30
8/13/2018,0,24
8/13/2018,1,25
8/13/2018,2,22
8/13/2018,3,23
8/13/2018,4,17
8/13/2018,5,14
8/13/2018,6,14
8/13/2018,7,12
8/13/2018,8,14
8/13/2018,9,14
8/13/2018,10,19
8/13/2018,11,22
8/13/2018,12,28
8/13/2018,13,36
8/13/2018,14,47
8/13/2018,15,50
8/13/2018,16,44
8/13/2018,17,51
8/13/2018,18,53
8/13/2018,19,56
8/13/2018,20,57
8/13/2018,21,56
8/13/2018,22,51
8/13/2018,23,44
8/14/2018,0,36
8/14/2018,1,34
8/14/2018,2,28
8/14/2018,3,24
8/14/2018,4,20
8/14/2018,5,16
8/14/2018,6,14
8/14/2018,7,14
8/14/2018,8,16
8/14/2018,9,13
8/14/2018,10,17
8/14/2018,11,20
8/14/2018,12,31
8/14/2018,13,40
8/14/2018,14,50
8/14/2018,15,55
8/14/2018,16,54
8/14/2018,17,49
8/14/2018,18,52
8/14/2018,19,49
8/14/2018,20,57
8/14/2018,21,48
8/14/2018,22,42
8/14/2018,23,33
8/15/2018,0,32
8/15/2018,1,27
8/15/2018,2,24
8/15/2018,3,20
8/15/2018,4,19
8/15/2018,5,14
8/15/2018,6,9
8/15/2018,7,7
8/15/2018,8,9
8/15/2018,9,14
8/15/2018,10,22
8/15/2018,11,26
8/15/2018,12,29
8/15/2018,13,32
8/15/2018,14,34
8/15/2018,15,30
8/15/2018,16,28
8/15/2018,17,28
8/15/2018,18,34
8/15/2018,19,42
8/15/2018,20,48
8/15/2018,21,45
8/15/2018,22,47
8/15/2018,23,42
8/16/2018,0,41
8/16/2018,1,30
8/16/2018,2,23
8/16/2018,3,18
8/16/2018,4,13
8/16/2018,5,11
8/16/2018,6,10
8/16/2018,7,11
8/16/2018,8,17
8/16/2018,9,17
8/16/2018,10,20
8/16/2018,11,28
8/16/2018,12,33
8/16/2018,13,49
8/16/2018,14,53
8/16/2018,15,55
8/16/2018,16,57
8/16/2018,17,57
8/16/2018,18,57
8/16/2018,19,63
8/16/2018,20,56
8/16/2018,21,52
8/16/2018,22,50
8/16/2018,23,48
8/17/2018,0,35
8/17/2018,1,29
8/17/2018,2,28
8/17/2018,3,22
8/17/2018,4,17
8/17/2018,5,15
8/17/2018,6,14
8/17/2018,7,14
8/17/2018,8,17
8/17/2018,9,18
8/17/2018,10,19
8/17/2018,11,26
8/17/2018,12,32
8/17/2018,13,35
8/17/2018,14,37
8/17/2018,15,36
8/17/2018,16,37
8/17/2018,17,42
8/17/2018,18,48
8/17/2018,19,46
8/17/2018,20,43
8/17/2018,21,39
8/17/2018,22,39
8/17/2018,23,35
8/18/2018,0,31
8/18/2018,1,29
8/18/2018,2,18
8/18/2018,3,15
8/18/2018,4,7
8/18/2018,5,8
8/18/2018,6,11
8/18/2018,7,11
8/18/2018,8,13
8/18/2018,9,15
8/18/2018,10,19
8/18/2018,11,22
8/18/2018,12,24
8/18/2018,13,33
8/18/2018,14,37
8/18/2018,15,42
8/18/2018,16,42
8/18/2018,17,36
8/18/2018,18,38
8/18/2018,19,38
8/18/2018,20,45
8/18/2018,21,42
8/18/2018,22,36
8/18/2018,23,34
8/19/2018,0,33
8/19/2018,1,32
8/19/2018,2,27
8/19/2018,3,26
8/19/2018,4,16
8/19/2018,5,17
8/19/2018,6,13
8/19/2018,7,9
8/19/2018,8,11
8/19/2018,9,13
8/19/2018,10,16
8/19/2018,11,25
8/19/2018,12,35
8/19/2018,13,48
8/19/2018,14,46
8/19/2018,15,52
8/19/2018,16,52
8/19/2018,17,60
8/19/2018,18,53
8/19/2018,19,57
8/19/2018,20,51
8/19/2018,21,40
8/19/2018,22,33
8/19/2018,23,22
8/20/2018,0,16
8/20/2018,1,10
8/20/2018,2,8
8/20/2018,3,10
8/20/2018,4,11
8/20/2018,5,13
8/20/2018,6,15
8/20/2018,7,12
8/20/2018,8,11
8/20/2018,9,12
8/20/2018,10,17
8/20/2018,11,23
8/20/2018,12,35
8/20/2018,13,35
8/20/2018,14,36
8/20/2018,15,42
8/20/2018,16,47
8/20/2018,17,50
8/20/2018,18,54
8/20/2018,19,57
8/20/2018,20,58
